,Title,Location,Company,Link,Description,Immigration,Relocation,Health Job,result_train
0,Data Scientist,"San Jose, CA",PayPal,https://www.linkedin.com/jobs/view/data-scientist-at-paypal-1877022234?refId=0cfc1e5e-7652-4b96-843f-48ba2e757e21&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Who We Are Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPalâ€™s 305 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom, enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies. When applying for a job you are required to create an account, if you have already created account - click Sign In.Creating an account will allow you to follow the progress of your applications.NoteProvide full legal first Name/Family Name DO: Capitalize first letter of First and Last Name. Example: John Smith  DON'T: Capitalize entire First and/or Last Name. Example: JOHN SMITH  NOTE: Use correct grammar for Names with multiple cases. Example: McDonald or O'ConnellProvide full address detailsResume Is RequiredMultiple attachments can be uploaded including Resume and Cover Letter for each applicationJob Description SummaryAt PayPal, weâ€™re literally reinventing how the world pays and gets paid. We understand that itâ€™s about people. We connect individuals to let them shop, get paid, donate and send money using todayâ€™s technology with the confidence that comes from the security and control PayPal enables. Are you ready to help us change the world?The worldâ€™s leading payments company, PayPal, brings together a family of brands that are revolutionizing the way people move money. At PayPal you will be immersed in an amazing community with a vibrant culture that thrives on innovation, collaboration, inclusion and wellness.As a Data Scientist in PayPalâ€™s Global Data Science organization, you will have an impact on PayPalâ€™s marketing and product all around the world. Our data scientists work to better understand our end-users, identify opportunities and improve our products and marketing outreach by creating personal and smart experiences. Making use of PayPalâ€™s endless amount of data, you will leverage your data and machine learning skills for research and delivery of end-to-end Data Science solutions.If you are an experienced Data Scientist with sharp analytical skills and a passion for deriving new insights from unimaginable amounts of data, solving unique challenges, leveraging machine learning algorithms, and working in a highly collaborative, values-driven environment â€“ then PayPalâ€™s Global Data Sciences (GDS) is looking for you.Job DescriptionIn your role as a Lead Data-Scientist, you will:Work with partners to translate business challenges into Data Science problemsMine data and extract information in PayPalâ€™s Big Data environmentLeverage Machine Learning algorithms to solve real-life problemsWork with engineers and product managers to develop and deliver E2E data science driven solutions that bring real business valueAnalyze various kinds of data to conclude actionable insightsCarry out independent research and innovation in new content, ML and technological domains, while supporting existing projectsAbout YouMasters, PhD, or equivalent experience in a quantitative field (Computer Science, Mathematics, Engineering, Artificial Intelligence, etc.1-2 years Product/Marketing data science work experience is a plusCode writing capability in any programming language (Python, R, Java, Scala, etc.) and familiarity with relevant ML packagesHadoop experience (PIG, Hive, Spark)Strong analytical skillsExcellent spoken and written EnglishTeam worker, responsible, delivery-orientedSubsidiaryPayPalTravel Percent0Primary Location:San Jose, California, United States of AmericaAdditional Locations: We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom. PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com .Reference Number: R0054368",Yes,,,Y
1,Data Scientist,"Newark, CA",Fancy.com,https://www.linkedin.com/jobs/view/data-scientist-at-fancy-com-1886789328?refId=0cfc1e5e-7652-4b96-843f-48ba2e757e21&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Description Job DescriptionTA Digital is a digital transformation agency with 30-40% growth year-over-year focused on hiring leaders within the digital marketing space to support growth and build a scalable foundation for the future. Our vision is to provide innovative digital solutions and services by continuing to expand our leadership team and hiring superstars who may feel lost or marginalized within their current organizations. Anywhere in the US | Location Preferences â€“ Los Angeles, Bay Area, Phoenix, Denver, Chicago or Dallas.If You Feel there are too many layers between you and decision makers  that your current organization will not make the right decision even after you identify problems and recommend viable solutions  you are ready for a bigger voice, larger platform or place for a stronger impactâ€¦then you should consider TA Digital because we are ready to talk to you!Key Responsibilities Create/ Implement Statistical Models, Neural Network Based Models for Supervised, Unsupervised Machine Learning. (Prediction, Classification, Clustering)  Development of Object-oriented programming knowledge, such as Java, Scala, R, Python  Deploy AI models into production  Build solutions such as computer vision, NLP, time series forecasting, general prediction models  Analyze data and visualize data, providing business insights. Work with SMEs to understand the business data models.Experience Requirement Experience in design and implementation of Machine Learning/AI/Deep Learning solutions.  At least 5 years of working experience managing data science project life cycle and actively involved in all the phases of project life cycle including data ingestion, data engineering, features engineering, statistical modelling (decision trees, regression models, neural networks, SVM, clustering,..)  Developing models in Machine learning with NLP, Neural Networks, Recommendation engines, Reinforcement Learning,  Exposure to AI and analytics platforms, such as Azure ML Studio, Google AI Engine, etc.  Work experience on structured/unstructured data, SQL and NoSQL big data storage solutions, cloud computing, REST API, and cloud microservices  Experience in building solutions such as computer vision, NLP, time series forecasting, general prediction models  Analyse large, complex, multi-dimensional datasets with a variety of open source tools  Implement Anomaly Detection and Optimization Techniques.BenefitsBase Salary, Bonus, Benefits: Global Health, Dental, Vision, AD&D Insurance, Vacation / PTO / Holiday pay plus matching 401K, Tuition & Travel Expense Reimbursement as needed. Travel Requirement30 â€“ 50% EOE & OFCCP Compliant regardless of : Minority / Female / Veteran / Disabled / Sexual Orientation / Gender Identity / National Origin",,,,N
2,Associate Data Scientist,"Burlington, VT",IXIS,https://www.linkedin.com/jobs/view/associate-data-scientist-at-ixis-1776454127?refId=0cfc1e5e-7652-4b96-843f-48ba2e757e21&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Associate Data ScientistIXIS is seeking an energetic, innovative quantitative researcher with expertise in classical and non-classical statistics and a proven ability to execute analytic initiatives to fill the position of Associate Data Scientist for the company. This is an onsite position located in Burlington, VT. The core responsibilities for this role include working with a team to design sophisticated quantitative solutionsâ€”frequently through integration of novel data sourcesâ€”and executing these solutions programmatically and reproducibly. In addition, this team member must be able to provide realistic estimates for hours and timelines needed to produce deliverables. The ideal candidate will combine deep technical expertise in programmatic statistical analysis and predictive modeling (preferably using R) with strong critical thinking and â€œdata IQâ€ skills, in order to translate client questions into quantitative approaches that produce actionable insights for our clients.ResponsibilitiesDesign and execute quantitative analyses to extract actionable insights that directly address client needs and questionsImport, clean, integrate, explore, and visualize large datasets to support ongoing research projects and ad hoc client requestsUse R and other software tools (SQL, Rmarkdown, git) to ensure that quantitative analyses are reproducibleWork with data engineers to plan, implement, and automate integration of external data sources across a variety of architectures, including local databases, web APIs, CRM systems, etc.Work with our quantitative and development teams to design and implement automated data analysis and predictive modeling technologies in support of client deliverablesParticipate in quantitative requirements meetings to build supporting evidence for retail and digital strategiesCollaborate with technical, development, database and QA engineersPrioritize multiple tasks intelligently and maintain clear lines of communication with supervisor, team, and clientsDesired Skills and ExperienceB.A./B.S. in Computer Science; or B.A./B.S. in a quantitative area (such as Statistics, Mathematics, Data Science or Economics) with a minor (or equivalent experience) in Computer Science; post-graduate degree preferred2+ yearsâ€™ professional experience with programmatic data analysis (R / Python / SAS); experience with R and common packages (dplyr, ggplot) strongly preferredExperience working with real-world datasets, including database queries, data aggregation, record linkage, data cleaning/reshaping/management, and descriptive data analysis; data visualization and automated reporting experience preferredExposure to digital analytics (such as Google Analytics or Adobe Analytics) and e-commerce fundamentals a plusExcellent attention to detail, critical thinking kills, and a systematic approach to problem-solving, with strong data intuition",,,,N
3,Data Scientist,"Phoenix, AZ",Diverse Lynx,https://www.linkedin.com/jobs/view/data-scientist-at-diverse-lynx-1886554584?refId=0cfc1e5e-7652-4b96-843f-48ba2e757e21&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Data ScientistDiverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.",,,,Y
4,Data Scientist,"San Francisco, CA","AllTech Systems, Inc.",https://www.linkedin.com/jobs/view/data-scientist-at-alltech-systems-inc-1877018236?refId=0cfc1e5e-7652-4b96-843f-48ba2e757e21&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"W2 onlyLocal candidates New Must Have requirements:1. Master degree in computer science or data science2. 2 years professional experience as software development engineer, data scientist, or machine learning engineer3. Proficient in Python, with solid background in data structures and algorithms4. Experience with computer visionQualifications:Minimum Education/Skills: â€¢ Bachelorâ€™s Degree in Econometrics, Economics, Engineering, Mathematics, Applied Sciences, Statistics or job-related discipline or equivalent experience â€¢ Job-related experience, 5 years, OR Masterâ€™s Degree and job-related experience, 3 years, OR Doctorate Desired Education / Skills: â€¢ Experience with the data science lifecycle, including data engineering, feature engineering, model building and evaluation, model deployment. â€¢ Knowledge of commonly used data science programming languages, packages, and tools, especially Python. â€¢ Understanding of data science/machine learning models and algorithms, not limited to: deep learning (CNN, RNN etc), decision trees (e.g. xgboost, random forest), unsupervised techniques (e.g. clustering, anomaly detection), natural language processing and statistical methods. â€¢ Experience training models in a public cloud environment, using tools such as Jupyter, AWS Sagemaker. â€¢ Ability to synthesize complex information into clear insights and translate those insights into decisions and actions. â€¢ Ability to clearly communicate complex technical details and insights to colleagues and stakeholders. â€¢ Knowledge of the mathematical and statistical fields that underpin data science â€¢ Knowledge of systems thinking and decomposition of complex problems. â€¢ Humble â€“ is open to being coached, has high EQ and is self-aware â€¢ Hungry â€“ desires to get things done while honoring people, and seeks better ways to do the job â€¢ Collaborative â€“ has strong interpersonal skills; cares about and works well with teammates â€¢ Experience working on an agile delivery team, using methods such as Scrum, Kanban.Responsibilities:â€¢ Applies machine learning and other analytical modeling methods to develop robust and reliable analytical models, including visualizations, within PG&Eâ€™s software development environment. â€¢ Gathers, cleans, transforms, and/or reduces data from dissimilar sources from across PG&E. â€¢ Collaborates with team members and stakeholders to effectively manage the lifecycle of a model, retraining, replacing or sunsetting models when appropriate. â€¢ Shares and collaborates with other  data scientists. â€¢ Delivers best-in-class software as part of a software delivery team.",,,,N
5,Data Scientist,"Atlanta, GA",FraudScope,https://www.linkedin.com/jobs/view/data-scientist-at-fraudscope-1887567302?refId=0cfc1e5e-7652-4b96-843f-48ba2e757e21&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"FraudScope is an AI-assisted platform that accelerates the identification of fraud, waste, and abuse in Healthcare which costs the nation $270B annually. FraudScope has won numerous startup competitions and is currently an ATDC Signature company. We are rapidly growing and seeking exceptional talent to achieve our goal of ensuring that our scarce healthcare dollars go to real patient care.Job DescriptionÂ Â We are seeking a talented data scientist with experience in statistical data analytics, working with advanced machine learning algorithms, and solving complex problems. We have built a web-based application that is supported by a large dataset of healthcare data, where various reports are made available to users that have results generated by a variety of machine learning algorithms. The main roles of the data scientist are thus to:- Lead the creation of new detection solutions driven by exploratory data analysis from complex and disparate healthcare datasets- Execute analytical approaches to design, develop, and evaluate methodologies and advanced algorithms that result in the extraction of optimal value from data- Investigate various data, technologies, and methodologies to determine their applicability in solving current problems- Keep abreast of developments within machine learning and apply where appropriate- Enhance and maintain the repository that contains all the algorithms and code that constitute the AI engine of the platform- Work both independently and in a teamRequired technical skills:Â Â - MS or PhD in a relevant discipline (Math, Statistics, Computer Science or Engineering)- Experience with the design, implementation, and evaluation of statistical predictive models using large datasets- Software development experience in Python- Expert familiarity with machine learning technologiesOther Requirements/Preferences:Â - Several years of experience in advanced analyticsÂ Â - Familiarity with the use of cloud computing platforms (e.g., Amazon Web Services)Â Â - Experience with large-scale data processing technologiesÂ - Experience with healthcare dataÂ - Experience using SQL or other database query languagesÂ - Experience using C or C++- Proficiency working in a Linux environmentÂ - Authorization to work in the USAÂ Â - Position in Midtown - Atlanta, GA (no remote)",,,,N
6,"Data Scientist, Recommendations","New York, NY",Tapestry,https://www.linkedin.com/jobs/view/data-scientist-recommendations-at-tapestry-1844312267?refId=0cfc1e5e-7652-4b96-843f-48ba2e757e21&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Explore the possibilities across our global house of brands.Defined by inclusivity rather than exclusivity, Tapestry embraces the exploration of individuality and invests in helping you grow personally and professionally. Every individual in our global house has the opportunity to make an impact, learn and be part of our growing and unique story.At Tapestry, we have the freedom to express ourselves and run with our best ideas across Coach, Kate Spade New York, and Stuart Weitzman. We share a profound belief in both our individual and collective potential, and know that with hard work and dedication, anything is possible.Primary Purpose: This Data Scientist will join our ongoing customer and product recommendation initiatives focused on improving the relevancy, response rate, and customer experience of our recommendation engines globally across all brands. You will be responsible for building and maintaining relationships with our business partners, developing and maintaining models serving recommendations, and expanding the scope and reach of data-driven customer recommendations.The successful candidate will leverage their experience in Data Science to...Collect, clean, integrate, analyze, and visualize internal and external data on customer and product characteristics to identify opportunities and guide recommendation strategyDevelop customer-level product and promotion recommendations for all Tapestry brands and regionsDeploy recommendation models as batch and real-time API processes integrating with our internal AWS environment and external partnersPartner with various Tapestry business teams including Ecommerce, CRM, and Marketing to identify the best opportunities and the right solutionsThe accomplished individual will possess...Experience developing and deploying recommendation enginesPython and SQL coding skills1+ years of experience as a Data ScientistBA/BS in a technical field (Computer Science, Statistics, Data Science, etc.)An understanding of Agile workflows and product development cyclesThe outstanding individual will possess...A Masters or PhD in a technical fieldExpertise in AWS, Azure, and/or GCPExperience working with non-technical teams and business partnersExperience working with containerized environments (e.g. Docker)Knowledge of retail and an interest in fashionOur Competencies for All EmployeesDrive for Results: Can be counted on to exceed goals successfully; is constantly and consistently one of the top performers; very bottom-line oriented; steadfastly pushes self and others for results.Customer Focus: Is dedicated to meeting the expectations and requirements of internal and external customers; gets first-hand customer information and uses it for improvements in products and services; acts with customers in mind; establishes and maintains effective relationships with customers and gains their trust and respect.Creativity: Comes up with a lot of new and unique ideas; easily makes connections among previously unrelated notions; tends to be seen as original and value-added in brainstorming settings.Interpersonal Savvy: Relates well to all kinds of people, up, down, and sideways, inside and outside the organization; builds appropriate rapport; builds constructive and effective relationships; uses diplomacy and tact; can diffuse even high-tension situations comfortably.Learning on the Fly: Learns quickly when facing new problems; a relentless and versatile learner; open to change; analyzes both successes and failures for clues to improvement; experiments and will try anything to find solutions; enjoys the challenge of unfamiliar tasks; quickly grasps the essence and the underlying structure of anything.Perseverance: Pursues everything with energy, drive, and a need to finish; seldom gives up before finishing, especially in the face of resistance or setbacks.Dealing with Ambiguity: Can effectively cope with change; can shift gears comfortably; can decide and act without having the total picture; isnâ€™t upset when things are up in the air; doesnâ€™t have to finish things before moving on; can comfortably handle risk and uncertainty.Our Competencies for All People ManagersStrategic Agility: Sees ahead clearly; can anticipate future consequences and trends accurately; has broad knowledge and perspective; is future oriented; can articulately paint credible pictures and visions of possibilities and likelihoods; can create competitive and breakthrough strategies and plans.Building Effective Teams: Blends people into teams when needed; creates strong morale and spirit in their team; shares wins and successes; fosters open dialogue; lets people finish and be responsible for their work; defines success in terms of the whole team; creates a feeling of belonging in the team.Managerial Courage: Doesnâ€™t hold back anything that needs to be said; provides current, direct, complete, and â€œactionableâ€ positive and corrective feedback to others; lets people know where they stand; faces up to people problems on any person or situation (not including direct reports) quickly and directly; is not afraid to take negative action when necessary.Tapestry, Inc. is an equal opportunity and affirmative action employer and we pride ourselves on hiring and developing the best people. All employment decisions (including recruitment, hiring, promotion, compensation, transfer, training, discipline and termination) are based on the applicantâ€™s or employeeâ€™s qualifications as they relate to the requirements of the position under consideration. These decisions are made without regard to age, sex, sexual orientation, gender identity, genetic characteristics, race, color, creed, religion, ethnicity, national origin, alienage, citizenship, disability, marital status, military status, pregnancy, or any other legally-recognized protected basis prohibited by applicable law. Visit Tapestry, Inc. at http://www.tapestry.com/",,,,Y
7,Data Scientist,"Plano, TX",Cystems Logic Inc,https://www.linkedin.com/jobs/view/data-scientist-at-cystems-logic-inc-1887369657?refId=0cfc1e5e-7652-4b96-843f-48ba2e757e21&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Role Data Scientist Location Plano, Texas Duration Long Term Description bull Educational background in Math, Statistics or Economics. bull Must have a strong background in AB testing. bull Strong theoretical and applied background in mathematical optimization with a proven track record in computation and algorithm development in linear and nonlinear programming, combinatorial optimization, integer programming, dynamic programming, network flows and algorithms to design optimal or near optimal solution methodologies using statistical and optimization tools such as R to find both exact and heuristic solution strategies for optimization problems bull Probability and statistics Candidate should know basic probability, expectation and conditional expectation, common statistics, exploratory data analysis, linear regression, hypothesis testing. Additional knowledge of probability is a plus. bull Scientific Computing R, Python bull Deep Learning frameworks Keras, Tensorflow bull Data Management Systems bull Experience in the financial industry with capital markets or wealth management portfolios is a plus.",,,,N
8,Data Scientist (NY/NJ),"Princeton, NJ",CitiusTech,https://www.linkedin.com/jobs/view/data-scientist-ny-nj-at-citiustech-1887317703?refId=0cfc1e5e-7652-4b96-843f-48ba2e757e21&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"CitiusTech is a leader in HeathCare innovation. We work with over 120 medical technology, provider, payer and life sciences companies across the US. We are rated among top 100 Best Companies to Work For 8 years in a row and consistently achieved the highest NPS in the Industry.Data Science team at CitiusTech is helping many of our clients transform customer experience, improve health outcomes and achieve business excellence through the power of AI/ML. We are growing rapidly by 2x year on year. As a team, we are focused on Deep Work in AI / ML as well as building a culture of openness and respect for each other.Job ResponsibilitiesDeveloping advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective mannerImplementing statistical and data mining techniques e.g. hypothesis testing, machine learning, and retrieval processes on a large amount of data to identify trends, patterns and other relevant informationKnowledge of databases, data modeling, data normalization etc. is a mustCollaborating with clients and other stakeholders to effectively integrate and communicate analysis findingEvaluating emerging datasets and technologies that may contribute to our existing analytical platformsMandatory Skills7-10 years of experience in Data SciencePostgraduate qualification in Statistics / Computer Science / Data Science from a premier instituteHaving hands-on experience on advanced analytics concepts and algorithms (e.g. Regression analysis Logistic Regression/Decision Tree, Monte Carlo methods, Survival Analysis, Simulation, Random Forest, Time series analysis etc.)Exposure to tools â€“ Python & RExcellent communication skillsDesired SkillsDocker, Kubernetes, Cloud experience would be a plusHealth Care (particularly payer) experience would be a significant advantagePowered by JazzHR",,,,N
9,Data Scientist,"Palm Beach Gardens, FL",Consultis,https://www.linkedin.com/jobs/view/data-scientist-at-consultis-1806652182?refId=0cfc1e5e-7652-4b96-843f-48ba2e757e21&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"WE ARE UNABLE TO OFFER SPONSORSHIP OR THIRD PARTY REPRESENTATION FOR THIS POSITIONConsultis, a premier Technical Solutions Provider and IT Staffing Firm with the single focus of pairing the right candidate with the right employment opportunity is currently searching for a Data Scientist for a Direct Hire opportunity (FTE) with our South Florida based client.Position OverviewThis is a client facing role as a Data Scientist, so excellent verbal and written skills are necessary to be successful. You must be local to the Palm Beach area, since there are no remote options. You will be allowed to work from home at times, along with many other great perks. This role is not a managerial role, so you will need to be head down, coding and modeling. This role will also require learning a lot on your own time to keep up with the latest developments.You will work with a cross-functional team in implementing computer vision and machine learning solutions. You will be working with state-of-the-art machine learning and computer vision tools. You must have experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. You must be comfortable working with a wide range of stakeholders and functional teams. You must have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.Responsibilities Gather and map client business use cases, to available data sources to formulate a solution using Data Science. Assess the effectiveness and accuracy of new data sources and data gathering techniques. Develop custom data models and algorithms to apply to data sets. Work in tandem with the software development teams and technology partners to implement models and monitor outcomes. Develop processes and tools to monitor and analyze model performance and data accuracy. Own technical execution of a project from inception to deployment (end-to-end). Comfortable working in a team environment, as well as individually with no direct supervision or oversight Requirements/ Computer Vision experience Data Science Modeling/Predictive Analytics experience Experience with Python Experience with tools like Tensorflow, PyTorch, SKlearn, Pandas etc. At least a Master's degree in some STEM discipline. Proven real-world experience implementing object classification and detection with deep learning techniques (3 - 5 yearsâ€™ experience preferred) Familiarity with mapping and tracking algorithms, camera optics, image sensor technology, image filtering techniques, image analysis, and segmentation Expert level experience (5+ yearsâ€™ experience preferred) using Machine Learning for Predictive Analytics solutions (regression, classification, time-series etc.) Experience with most of the following libraries and frameworks: TensorFlow, PyTorch, Keras, OpenCV, NumPy, SciPy and Scikit-Learn Hands-on experience using cloud-based ML/AI platforms Strong problem-solving skills with an emphasis on product development General knowledge of a variety of machine learning techniques Experience with a variety of Agile development methodologies such as Scrum, Kanban, TDD, Pair Programming Effective verbal/written communication and presentation skills A drive to learn and master new technologies and techniques Additional Nice To Have Skills (A PLUS) Consulting experience PhD is a nice to have, but not required To Apply For This PositionPlease apply online through Consultis' application process. This will register you into our database allowing us to better qualify and present you with opportunities. Provide as much information as possible including telephone #s, email, local address, resume, skills, availability, relocation preferences, acceptable travel percentage, salary history, work history, references and job type categories. Should you experience trouble please feel free to contact us directly at 561-750-8745You may also email your resume to: KyleR@consultis.comWE ARE UNABLE TO OFFER SPONSORSHIP OR THIRD PARTY REPRESENTATION FOR THIS POSITION",No,,,N
