title,company,location,desc_raw,desc_visa,sponsor
Data Scientist,Warner Bros. Entertainment,"Burbank, CA","The JobWarner Bros. Entertainment Inc. seeks a Data Scientist for the Digital Product, Platform & Strategy: Data Intelligence Operations department. We are looking for a talented data scientist to join our Data Intelligence Team. The data scientist will be responsible for predictive modeling and analysis of customer data, as well as researching best practices in analytics and data science, and sharing them across the company to improve analytic capabilities at Warner Bros.The Daily Analyze and model internal customer data.  Build relationships and collaborate with analysts and researchers across WB.  Produce statistical and machine learning models that inform how we communicate with our customers.  Drive improvement in our methodologies, systems and processes.  Provide analysis, reporting, and modeling to internal organizations based on customer data.  Prepare and present results of analyses to leadership.  The Essentials  B.A./B.S. degree in Statistics, Mathematics, Computer Science, Economics, Political Science, or similar quantitative field.  Quantitative oriented Masters Degree or Ph.D preferred.  Minimum of 1-2 years of experience in analytics and data science.  1+ years of experience with conducting analysis in R, Python, SAS, or similar analytical languages.  Experience with relational databases and SQL.  Experience with working in cloud based environments like AWS a plus.  Expertise in machine learning and predictive modeling approaches such as Random Forest, GBM, xgBoost, neural networks/deep learning, etc.  Skilled researcher, able to distill large bodies of research to key findings and explain them to varied audiences.  Experience developing testing plans for evaluating campaigns or changes to products  Knowledge of basic survey design and analysis.  Strong history of identifying opportunities for developing predictive models to meet business needs.  Love of TV, Movies, Games, and Comics is a Plus!  Must be able to communicate effectively and tactfully with all levels of personnel, both in person and on the telephone.  Must be able to pay close attention to complex detail and understand written and oral instructions.  Must be able to organize and schedule work effectively.  Must be able to work well under time constraints.  Must be able to handle multiple tasks with changing priorities, communicating changes in scope and schedule to all parties concerned.  Must be able to work independently.  Must be able to maintain confidentiality.",check company stance,Unknown
Scientist (Level 1),"Arima Genomics, Inc.","San Diego, CA","Role: Scientist I – Product DevelopmentCompany Description:Arima Genomics’ mission is to develop technologies that enable concurrent sequencing of genome sequence and structure, to accelerate understanding of the genetics of human health and disease.Our biggest assets are the nearly 20 employees whose resilience has helped us achieve tremendous growth in revenue and customers and build top-notch customer confidence. Arima Genomics is growing rapidly and offers excellent opportunities for career development.How will you make an impact?Arima Genomics is a San Diego-based startup which is revolutionizing the way Genomic Data is used in basic and Disease research. The Scientist I position will play an integral role in the development of genomic products for basic and disease research. This position requires a leader who thrives in a fast-paced working environment, and possesses a well-rounded genomics skill set to design and execute thoughtful experiments, conduct bioinformatics analysis and interpretations, and communicate results and propose future directions to peers and management. This work will be in the context of creating the highest quality and highest performing assay’s to meet our customer’s needs and will interface with Customer Support, Marketing, QC, Bioinformatics, and Manufacturing.What you will do:•          Assay Development - design and execution of early stage proof of concept experiments, optimization of genomics assays and workflows for target specifications and robustness, edge testing, perform basic statistical analysis of results to aid in interpretation, and perform troubleshooting / root cause analyses.•         Design and implement bioinformatics tools for data QC and drive data interpretation and future direction proposals.•        Create and implement QC metrics with appropriate thresholds to aid in quality management.•         Contribute to the design and planning of product development experiments and timelines•         Execute experiments at the bench according to research project plan.•         Present interpreted results and proposals of next steps to management.•         Mentor more junior employees and collaborate effectively with peers, cross-functional teams and mangers across the organization.•         Stay well-informed on current technology trends and scientific literature related to your specific project, as well as the broad application areas of Arima’s products and services.•         Anticipate project challenges early, work to resolve them, and utilize good judgement when raising challenges to management.•         Participate in R&D lab meetings, fostering an environment of intellectual curiosity and critical thinking, while maintaining an awareness for technology commercialization and product development•         Present at scientific meetings and travel to customer sites as needed.•         Contribute experiments, analysis, and writing for research proposals, patent applications, SOPs, user guides, and technical notes as necessary.•         Assist in technology transfer between Product Development and Manufacturing.•         Participate in additional special team or individual projects.What we are looking for:•         A strong interest and belief in the power of genomic structure to revolutionize human disease research.•         Passion for developing high quality genomics products.•         Strong working knowledge of a variety of genomics assays and next-generation sequencing (NGS) sample prep methods.•         Hands-on experience and proven proficiencies working with bioinformatics analysis of NGS data - the ability to both understand and use existing bioinformatics tools, as well as write custom data analysis and data visualization programs. Proficiency in at least one programming language such as R, Python, Perl, C, BASH, or other.•         Demonstrated ability to drive research projects in a team environment.•         Excellent written and verbal technical communication skills.•         Demonstrated leadership, initiative, organizational skills, and inter-personal communication abilities.•         Ph.D. in Molecular Biology or other related scientific fieldArima Genomics believes that everyone has the ability to contribute to company success, and we are committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information.",role scientist product development company description arima genomics mission develop technologies enable concurrent sequencing genome sequence structure accelerate understanding genetics human health disease biggest assets nearly 20 employees whose resilience helped us achieve tremendous growth revenue customers build top notch customer confidence arima genomics growing rapidly offers excellent opportunities career development make impact arima genomics san diego based startup revolutionizing way genomic data used basic disease research scientist position play integral role development genomic products basic disease research position requires leader thrives fast paced working environment possesses well rounded genomics skill set design execute thoughtful experiments conduct bioinformatics analysis interpretations communicate results propose future directions peers management work context creating highest quality highest performing assays meet customers needs interface customer support marketing qc bioinformatics manufacturing do assay development  design execution early stage proof concept experiments optimization genomics assays work flows target specifications robustness edge testing perform basic statistical analysis results aid interpretation perform troubleshooting  root cause analyses design implement bioinformatics tools data qc drive data interpretation future direction proposals create implement qc metrics appropriate thresholds aid quality management contribute design planning product development experiments timelines execute experiments bench according research project plan present interpreted results proposals next steps management mentor junior employees collaborate effectively peers cross functional teams mangers across organization stay well informed current technology trends scientific literature related specific project well broad application areas arimas products services anticipate project challenges early work resolve them utilize good judgement raising challenges management participate rd lab meetings fostering environment intellectual curiosity critical thinking maintaining awareness technology commercialization product development present scientific meetings travel customer sites needed contribute experiments analysis writing research proposals patent applications sops user guides technical notes necessary assist technology transfer product development manufacturing participate additional special team individual projects looking fora strong interest belief power genomic structure revolutionize human disease research passion developing high quality genomics products strong working knowledge variety genomics assays next generation sequencing ngs sample prep methods hands experience proven prof ici enc ies working bioinformatics analysis ngs data  ability understand use existing bioinformatics tools well write custom data analysis data visualization programs proficiency least one programming language r python perl c bash demonstrated ability drive research projects team environment excellent written verbal technical communication skills demonstrated leadership initiative organizational skills inter personal communication abilities ph molecular biology related scientific field arima genomics believes everyone ability contribute company success committed providing employment opportunity regardless sex race creed color gender religion marital status domestic partner status age national origin ancestry physical mental disability medical condition sexual orientation pregnancy military veteran status citizenship status genetic information,Unknown
Data Scientist,CGG,"Houston, TX","Company DescriptionCGG is a fully integrated Geoscience company providing leading geological, geophysical and reservoir capabilities.Job DescriptionCGG is currently looking for a creative and results-focused individual who enjoys working on open-ended problems. Your customers are world-class seismic imagers who strive to image the subsurface with a high degree of accuracy and resolution. Your challenge is to analyze the computational activities and demands of seismic imaging and, with your insights, propose solutions and applications for realms widely ranging from resource scheduling and allocations to automation of imaging-related computations in our HPC environment. In a nutshell, we expect you to propose solutions to known problems and also identify new areas where you can add value with your expertise.We want people who can work with a team to decide what to look for, and who also have the technical ability to go get it. Interest in data mining and machine learning is key, since these are the two areas where you may specialize. You will participate as an engineer on a development team, writing, testing, and deploying code to achieve your goals. We want you if you are an independent thinker and capable of analyzing requirements, extracting data for analysis, and developing algorithms and tools. We process seismic data at the petascale and warehouse information at the terascale. The stakes are high, but your impact can be higher.Must have current U.S. work authorization or qualify for sponsorshipQualificationsPh.D.in Computer Science, Math, Statistics, Physics or a closely related field but an equivalent combination of educationand experience will be consideredProven Machine Learning experienceProfessional experience with Deep Learning Neural Network buildingDemonstrated experience with Deep Learning Framework such as Tensorflow and KerasExperience and/or education in at least one of the fields of Big Data, Data Mining, Predictive/Prescriptive Analytics, Optimization, Exploratory Analysis & VisualizationKnowledge of relational databases, data modeling, and schema normalization techniquesFamiliar with SQLPassion for solving complex data engineering and modeling tasksAbility to perform testing based on different hypotheses to determine the impact on key performance indicatorsExcellent analytical skills and the ability to work in a collaborative team environmentPreferredExperience in programming (high performance computing is a plus) and developing databasesKnowledge and experience with UNIX (Linux), Java, and XMLKnowledge of Perl, R, and SparkExpertise in designing and implementing efficient algorithmsWe wish to thank all applicants for their interest; however, only those candidates selected for an interview will be contacted. EOEOur focus on performance and passion for innovation are powered by peopleOur greatest resource is you Additional InformationAll your information will be kept confidential according to EEO guidelines.",process seismic data peta scale warehouse information tera scale stakes high impact higher must current us work authorization qualify sponsorship qualifications ph computer science math statistics physics closely related field equivalent combination education experience considered proven machine learning experience professional experience deep learning neural network building demonstrated experience deep learning framework tensor flow ker experience andor education least one fields big data data mining predictive prescriptive analytics optimization exploratory analysis  visualization knowledge relational databases data modeling schema normalization techniques familiar sql passion solving complex data engineering modeling tasks ability perform testing based different hypotheses determine impact key performance indicators excellent analytical skills ability work collaborative team environment preferred experience programming high performance computing plus developing databases knowledge experience unix linux java xml knowledge perl r spark expertise designing implementing efficient algorithms wish thank applicants interest however only candidates selected interview contacted eoeour focus performance passion innovation powered people greatest resource additional information information kept confidential according eeo guidelines,Unknown
Data Scientist,"Prudent Technologies and Consulting, Inc.","Grapevine, TX","   Position Title: Data Scientist Location:  Grapevine,TX Position type: Full Time      SKILLS AND BACKGROUND:   2 -      4 years of experience in Supply Chain or logistics data analytics  Highly      proficient in use of SAP and various supply Chain optimization tools  Superior      analytical and problem-solving skills, with an ability to deliver results      in a highly dynamic and evolving environment  Familiarity      with demand planning and forecasting. Ability to Build models to visualize      inventory scenarios and create what if simulations.  Strong      organizational and time management skills; Excellent MS Office skills;      Advanced Microsoft Excel and PowerPoint skills.  Interpersonal      skills to work within a fast-paced team environment • Strong communication      skills, both verbal and written  Ability      to learn new skills and analytical tools quickly; Experience working with      multi-plant environment preferred  Skilled      data extract ability in various database platforms, such as MS ACCESS, MS      SQL  Experience      with data visualization tools such as Tableau, MS Power BI, etc. is      preferred  General      understanding of transportation, warehousing, and other supply chain      concepts   EDUCATION, CERTIFICATIONS, AND TRAINING:   Minimum      Bachelor’s degree from accredited university in related discipline.  Prefer      Master’s degree (MBA).  ",check company stance,Unknown
Data Scientist,Seismic,"San Diego, CA","DescriptionAbout Seismic Data Team:At Seismic, we’ve built and are continuing to improve the leading enterprise sales enablement platform to ensure that our clients globally distributed sales and partner teams have access to the right sales content at the right time.We believe that the best way to delight our customers, both internal and external, is to make data-informed product decisions by digging deep into all of our business intelligence.About The JobSeismic is on the lookout for experienced, creative, and dynamic Data Science talent to join and make a massive impact on our product and operations. In this role, you will collaborate with your team and Executive Engineering/Data leadership to sleuth through our proprietary data to help our teams and customers make better decisions. Make a Seismic-Shift and join our team!Who You AreAn experienced Data Scientist with a passion for digging deep and finding trends that others may missYou can release high-quality, production-ready products. This requires rapid iterations, robust debate, and technical skills. The better you are at writing code, the more efficiently we can release a product that's used daily to make critical decisions.Seen as an active contributor in the team problem-solving-process – you aren’t afraid to share your opinions in a low-ego mannerYou enjoy solving challenging problems, all while having a blast with equally passionate and talented team membersYou are comfortable and enjoy working with data. This requires a high level of mathematical and statistical literacy and an intense interest in applying quantitative analysis to real-world problemsYou can extract meaning from data. Our product lives and dies based on the accuracy of our data-driven adviceYou are intellectually honest, not fooled by randomness, and obsessive about detailsYou are well versed in techniques such as statistical analysis, exploratory analysis, and predictive analysis What You Will Be DoingRapidly design and implement machine learning and data products that our enterprise customers and internal teams will use to make informed data-backed decisionsDesign and implement the data and analytics products that are leveraged by our enterprise customersProvide data insights back to the organization in an accessible and end-user friendly mannerCollaborate with software engineers, data engineers, and fellow scientists to create the best solutions for our customers internally and externallyWork closely with stakeholders and contribute your suggestions to build optimal solutions Implement algorithms with modern software development and delivery techniques Remain up-to-date with the latest trends in data science and bring that knowledge to life in our products and analysisBe flexible to handle other duties as assignedWhat You Bring To The TeamBachelor's degree in Computer or Data Science, Applied Mathematics, similar technical field of study, or equivalent practical experienceMinimum of 5 years of experience as a Data Scientist, Data Engineer, or Machine Learning Engineer3-5 years of experience with Python and SQL as it pertains to Data Analytics / Data MiningDeep familiarity with BI/Data tools such as Tableau, Spark, Snowflake, etc.Familiarity with Kubernetes, C#, Docker, Apache Kafka a plus!Strong background in Machine Learning a must. Focus on recommendation systems, natural language processing (NLP), Bayesian estimation, or reinforcement learning would be nice.What We Have For You Generous PTO, paid holidays, and paid sick leave  Competitive Medical, Dental and Vision Plans  Robust 401(k) fund options with company matching  Equity within Seismic in the form of stock options Catered meals, healthy snacks and coffee barsSeismic Cares volunteer program#OneSeismic culture that celebrates wins, encourages autonomy, ownership, and transparencyAbout SeismicSeismic, ranked as one of the best places to work by Inc. Magazine, is a rapidly growing Forbes Cloud 100 company and is emerging as the recognized category leader in sales enablement. Seismic unites marketing and sales teams in delivering the most compelling stories throughout a buyers’ journey. More than 600 customers rely on the world’s most powerful storytelling platform to connect the right buyer, with the right content, at the right time, every time. Seismic customers such as T. Rowe Price, IBM, American Express, PayPal, Rockwell Automation, and Quest Diagnostics are achieving higher win rates, larger deal sizes, and improved customer retention rates with our solution. Seismic recently achieved a billion-dollar valuation and was named to the 2019 Forbes Cloud 100.Headquartered in San Diego and with more than 800 employees across the globe, Seismic is privately held and backed by investment firms General Atlantic, JMI Equity, Jackson Square Ventures, Lightspeed Venture Partners, and T. Rowe Price. Seismic also recently expanded its team and product portfolio with the acquisition of Percolate. Our board of directors is composed of several industry luminaries, including John Thompson, chairman of the board of directors for Microsoft.Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.",check company stance,Unknown
Data Scientist II,RealREPP,"Los Angeles, CA","RealREPP, a full service technology, logistics and commercial real estate recruiting firm is currently teaming with a well known multinational technology company in LA County to assist them in hiring for a Data Scientist II. This individual will be working to shape the way television is watched on a daily basis by consumers!The company values hard work equally as much having fun and works to improve and change the entire technology industry.This organization offers a competitive base salary ($80,000 - $110,000 DOE), excellent/comprehensive benefits package,industry leading PTO, and 401k with a match!!Responsibilities Analyze/interpret data compilations and provide new insights Create and find new ways of advancing business performances regarding television scheduling, etc Develop solutions to various company challenges Build models and utilize statistics, probability theories, etc Provide working knowledge and understanding of business reality  Work alongside various departments including finance, marketing, and programs Identify valuable data sources and discover trends  Ensure quality and accuracy of data collection  Requirements Master's degree or PhD in any related field such as Statistics, Mathematics, Software Engineering, etc At least 4 years' experience in quantitative research Prior experience programming, scripting, prototyping with SQL, Java, etc Skills in cloud computing (Redshift, EMR) and other big data tools Ability to perform well with open-ended situations  Good communication skills and ability to present well This organization is an equal opportunity employer and values diversity. They do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.If you are interested in hearing more about this exciting opportunity, please apply via our website at www.RealREPP.com",check company stance,Unknown
Data Scientist,Ovative Group,"Minneapolis, MN","Digital Marketing is a critical part of every consumer journey, but many companies only measure its impact on their digital outcomes. Our focus on enterprise-level optimization at Ovative Group can't be found anywhere else, and our clients are household names that span multiple industries, including retail, healthcare, education, CPG, and hospitality.The Ovative Group Data Scientist position is an opportunity to take your next career step at a fast-growing company that has the highest standards for talent, fun, and client success. The ideal candidate demonstrates great critical thinking, sophisticated understanding of the data science landscape, familiarity with the marketing ecosystem and phenomenal communication skills. They are excited to play a pivotal role in helping Ovative continue our journey towards measuring and optimizing against the true enterprise impact of marketing dollars, and ultimately unlocking powerful business results for our clients.Responsibilities of a Data Scientist* Design, develop and deploy predictive analytics solutions (60%)* Build machine learning components of our best-in-class measurement & attribution product, and partner with our Data Engineering group to move those components into production.* Work with internal business teams to create & enhance the technical foundation of product offerings across our entire organization* Execute & communicate client-specific analyses (40%)* Leverage & improve our in-market A/B testing methodology and share key results with internal & external stakeholders.* Drive ad hoc analytics work including hierarchical clustering, trend analysis and related tasks.Requirements* 2-5 years of data science/analytics experience with a clear history of technical project success* Demonstrated ability to understand client needs, identify solutions (and their potential impacts) and present recommendations to internal or external stakeholders.* Expertise in both supervised & unsupervised machine learning techniques, as well as the overall model development cycle* Capability to drive both technical and business aspects of a project, including requirements gathering and stakeholder communication* Fluent in R (tidyverse) or Python (Pandas/Numpy)* Foundational understanding of software development & engineering principles (git, Pull Requests, testing, etc)* Thorough understanding of statistics, including hypothesis testing, parametric & non-parametric distributions, etc* Preferred qualifications: Media Mix Modeling, Bayesian statistics, Stan programming, Prior focus on digital marketing analyticsBenefits of working at Ovative GroupWe provide strong, competitive, holistic benefits that understand the importance of your life inside and out of workCulture:Culture matters and we've been recognized as a Top Workplace three-years running because of it. We demand trust and transparency from each other. We believe in doing the hard and complicated work others put off. We're open in communication and floor plan. We're flat - our interns sit next to VPs, our analysts work closely with senior leaders, and our CEO interacts with every single person daily. Put together, these elements help foster an environment where smart people can support each other in performing to their highest potential.Compensation and insurance:We strive to hire and retain the best talent in the Twin Cities. Paying fair, competitive compensation, with a large bonus incentive, and phenomenal health insurance is an important part of this mix. We're rewarded fairly and when the company performs well, we all benefit.Tangible amenities we enjoy:* Flexible paid vacation policy* 401k match program* Free parking and on-site fitness center with locker rooms* Sabbatical program* Charitable giving via our time and a financial match program* Shenanigan's dayWorking at Ovative won't be easy, but if you like getting your hands dirty, driving results, and being surrounded by the best talent, it'll be the most rewarding job you'll ever have. If you think you can make us better, we want to hear from you!",check company stance,Unknown
Data Scientist,Jobot,"New York, NY","This Jobot Job is hosted by Ellina OganyanAre you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume.A Bit About UsWe are looking for an experienced Data Scientist with a Bio-pharmaceutical background to join our team!Why join us? Competitive Compensation Package  Full Benefits (Health/Dental/Vision/Retirement)  Generous Vacation/PTO  Opportunity for Career GrowthJob DetailsYou will be responsible for the following Developing novel data science and machine learning solutions  Leading small data science projects of defined scope Develop statistical models that will enable future growth and profitability  Identify drivers of insurance costs, economics of customers’ behavior and estimating the expected losses using advanced statistical/analytical techniques on large data sets Create complex predictive models that enable the creation of rating plans and evaluation of risk and profitability Develop studies that evaluate new business models for customer retention and growth initiatives Collaborate with upper management to assess the potential effects of proposed solutions and recommendationsQualifications PhD or Masters Degree in a quantitative field  Strong background in predictive modeling, data mining and other quantitative and research analytics  Exceptional programming ability in SAS, SQL, R, Python or other programming languages In-depth understanding of database principles and experience working with large databases Hands-on experience developing and delivering structured, methodology projects Strong organizational and project management experience handling multiple projects simultaneouslyInterested in hearing more? Easy Apply now by clicking the ""Apply"" button.",check company stance,Unknown
Data Science Analyst,Toyota North America,"Dallas, TX","Who We AreCollaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world’s most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We’re looking for diverse, talented team members who want to Dream. Do. Grow. with us.An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company – delivering on Toyota’s vision to move people beyond what’s possible. At TFS, you will help create best-in-class customer experiences in an innovative, collaborative environment.Who We’re Looking ForToyota Financial Services Risk Data Sciences Department is looking for a passionate and highly-motivated Data Science Analyst.The primary responsibility of this role is to uncover actionable insights through data analysis and help drive data-based decision making throughout the customer lifecycle.Specific responsibilities include extracting and linking data from company systems, manipulating and cleaning the results, building predictive and prescriptive models to extract insights and to present the findings and recommendations to business partners and leaders across the business.Reporting to the Manager, Data Science , the person in this role will provide support focused on an individual area or span multiple areas, including but not limited to: Sales and Marketing, Credit Risk, Residual Value, Customer Management and Collections; as well as horizontal functions like Finance & HR; or associated business including Insurance and Manufacturing.What You’ll Be Doing Partner with the business to identify the most important questions that need to be answered about our customers and their value  Hands on data extraction and data wrangling from internal and external systems using SAS, SQL, Python, R, etc.  Analysis and model building using advanced analytics tools and techniques using statistical software packages like SAS, Python, R, etc.  Develop, manage and deploy analytic solutions using statistical software packages like SAS, R, Python, etc.  Build PowerPoint presentations to recommend business decisions  Create output and/or results that visualize findings using fixed reports and or tools like Tableau/Power BI  Develop analytical project plans and integrate inflows and outflows of information with teams upstream and downstream from analytical efforts  Attend and participate (where appropriate) in various project planning and prioritization sessions JobDataPrimary LocationUS-TX-Dallas-PlanoOrganizationTFS - Toyota Financial ServicesTravelNoJob PostingMay 29, 2020, 8:36:53 AMWhat You Bring Master’s degree (or higher) in a heavily analytical discipline (i.e. Math, Stats, Economics, etc.)  Completion of internship(s) and/or demonstrated experience in using a variety of statistical and machine learning techniques to solve problems  Hands on experience using SQL and Python coding language  Strong statistical and problem-solving skills  Strong analytical skills with ability to interpret large amounts of data  Ability to quickly learn new software tools and coding languages  Added bonus if you have  Experience supporting international analytics  Financial services experience  Proficient in Portuguese or Spanish language  Hands on experience with tools such as Tableau, R, Scikit-learn, and/or SAS What We’ll BringDuring your interview process, our team can fill you in on all the details of our industry-leading benefits and career development opportunities. A few highlights include: A work environment built on teamwork, flexibility and respect  Professional growth and development programs to help advance your career, as well as tuition reimbursement  Vehicle purchase & lease programs  Comprehensive health care and wellness plans for your entire family  Flextime and virtual work options (if applicable)  Toyota 401(k) Savings Plan featuring a company match, as well as an annual retirement contribution from Toyota regardless of whether you contribute  Paid holidays and paid time off  Referral services related to prenatal services, adoption, child care, schools and more  Flexible spending accounts  Relocation assistance (if applicable) What You Should KnowOur success begins and ends with our people. We embrace diverse perspectives and value unique human experiences. We are proud to be an equal opportunity employer that celebrates the diversity of the communities where we live and do business. Applicants for our positions are considered without regard to race, ethnicity, national origin, sex, sexual orientation, gender identity or expression, age, disability, religion, military or veteran status, or any other characteristics protected by law.Have a question or need assistance with your application? Check out the How to Apply section of our careers page on Toyota.com To save time applying, Toyota does not offer sponsorship of job applicants for employment-based visas or any other work authorization for this position at this time JobData",embrace diverse perspectives value unique human experiences proud equal opportunity employer celebrates diversity communities live business applicants positions considered without regard race ethnicity national origin sex sexual orientation gender identity expression age disability religion military veteran status characteristics protected lawhave question need assistance application check apply section careers page toyota com save time applying toyota not offer sponsorship job applicants employment based visas work authorization position time jobdata,Unknown
Data Scientist - Fraud,Stitch Fix,"San Francisco, CA","About The TeamAt Stitch Fix, our data science team combines artificial intelligence together with expert-human judgment to generate innovative recommendations and insights that help our clients look and feel their best. The client relationship team focuses on building algorithm-driven product features with the goal of deepening the relationship between clients and Stitch Fix. Examples of some of the projects we work on include enhancing the way clients communicate with stylist about their needs and inspirations, flexing our service to match clients’ changing circumstances, and enabling clients to discover similar and complementary items they’ll love.About The RoleThis role will work in close partnership with Engineering, Product, and UX to develop systems that maximize successful transactions and minimize fraudYou're Excited About This Opportunity Because You Will… Prototype, test, and deploy algorithms for use in fraud recognition Work in a collaborative, production-facing codebase that has close coupling with engineering systems Conduct experiments to show causal impact of new ideas or implementations Effectively communicate and share results with both technical and non-technical cross-functional partners We’re Excited About You Because… You have 3+ years of experience implementing/designing machine learning algorithms  You have experience with coding/algorithm implementation You have a creative, problem-solving mindset You are able to work with both technical and non-technical partners (presentations, expectation management, getting people on-board with ideas) You are interested in both collaborative ownership of a code-base as well as self-ownership of a capability WHY YOU'LL LOVE WORKING AT STITCH FIX… We are a group of bright, kind and challenge-motivated people. You can be your authentic self here, and are empowered to encourage others to do the same! We are a successful, fast-growing company at the forefront of tech and fashion, redefining retail for the next generation. We are a technology and data-driven business. We are committed to our clients and connected through our vision of “Transforming the way people find what they love.” We love solving problems, thinking creatively and trying new things. We believe in autonomy & taking initiative. We are challenged, developed and have meaningful impact. We take what we do seriously. We don’t take ourselves seriously. We have a smart, experienced leadership team that wants to do it right & is open to new ideas. We offer competitive compensation packages and comprehensive health benefits. You will be proud to say that you work for Stitch Fix and will know that the work you do brings joy to our clients every day. About Stitch FixAt Stitch Fix, we’re about personal styling for everybody and we believe in both a service and a workplace where you can be your best, most authentic self. We’re the first fashion retailer to combine technology and data science with the human instinct of a Stylist to deliver a deeply personalized shopping experience. This novel juxtaposition attracts a highly diverse group of talented people who are both thinkers and doers. All of this results in a simple, powerful offering to our customers and a successful, growing business serving millions of men, women, and kids. We believe we are only scratching the surface on our opportunity, and we’re looking for incredible people like you to help us carry on that trend.Please Review Stitch Fix's Recruiting Privacy Policy Herehttps://www.stitchfix.com/privacy/usrecruitingprivacy",check company stance,Unknown
